City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
0,Lima,PE,-12.0432,-77.0282,59.4,86,90,13.8,
1,Ushuaia,AR,-54.8,-68.3,38.86,75,75,25.32,
2,Jamestown,US,42.097,-79.2353,60.39,87,90,7.0,
3,Vaini,TO,-21.2,-175.2,75.36,88,40,10.36,
4,Pangnirtung,CA,66.1451,-65.7125,34.43,60,100,2.82,
5,Cape Town,ZA,-33.9258,18.4232,61.27,85,40,5.01,
6,Butaritari,KI,3.0707,172.7902,83.01,75,39,10.47,
7,Ponta Do Sol,PT,32.6667,-17.1,70.43,71,78,3.83,
8,Rikitea,PF,-23.1203,-134.9692,73.76,76,58,14.25,
9,Hobart,AU,-42.8794,147.3294,52.27,63,20,1.01,
10,Katsuura,JP,35.1333,140.3,71.19,63,100,15.03,
11,Souillac,MU,-20.5167,57.5167,71.98,78,40,12.66,
12,Kieta,PG,-6.2167,155.6333,82.99,77,21,4.9,
13,Hermanus,ZA,-34.4187,19.2345,59.9,91,21,8.46,
14,La Ronge,CA,55.1001,-105.2842,64.65,45,40,8.05,
15,Hilo,US,19.7297,-155.09,83.93,76,20,14.97,
16,Provideniya,RU,64.3833,-173.3,33.58,88,99,1.66,
17,Praia,CV,14.9215,-23.5087,79.34,78,75,13.8,
18,Sayyan,YE,15.1718,44.3244,60.28,23,90,6.2,
19,Bathsheba,BB,13.2167,-59.5167,81.21,89,40,6.91,
20,Bluff,NZ,-46.6,168.3333,46.8,60,47,14.65,
21,Gamba,GA,-2.65,10.0,75.24,89,97,4.72,
22,Atuona,PF,-9.8,-139.0333,77.94,77,66,19.19,
23,Coahuayana,MX,18.7333,-103.6833,76.48,85,92,2.71,
24,Mar Del Plata,AR,-38.0023,-57.5575,58.08,64,40,5.99,
25,Simao,CN,22.7886,100.9748,63.46,96,92,2.06,
26,Nome,US,64.5011,-165.4064,44.67,71,75,14.97,
27,New Norfolk,AU,-42.7826,147.0587,51.93,46,22,3.47,
28,Caravelas,BR,-17.7125,-39.2481,71.56,68,34,8.55,
29,Bredasdorp,ZA,-34.5322,20.0403,60.12,77,16,9.22,
30,Albany,US,42.6001,-73.9662,63.91,81,95,2.35,
31,Portland,US,45.5234,-122.6762,85.84,37,20,1.01,
32,Mataura,NZ,-46.1927,168.8643,46.47,88,44,7.05,
33,Hithadhoo,MV,-0.6,73.0833,81.18,77,100,15.66,
34,Kargasok,RU,59.0556,80.8572,35.31,98,100,12.68,
35,Busselton,AU,-33.65,115.3333,52.09,84,73,2.48,
36,Alice Springs,AU,-23.7,133.8833,69.35,21,3,11.5,
37,Gigmoto,PH,13.7796,124.39,84.18,75,52,3.22,
38,Jacareacanga,BR,-6.2222,-57.7528,73.9,79,83,2.08,
39,Cao Bang,VN,22.6667,106.25,74.37,96,11,1.21,
40,Alpena,US,45.0617,-83.4327,55.72,84,40,3.44,
41,Bay Roberts,CA,47.5999,-53.2648,48.33,88,100,8.14,
42,Yellowknife,CA,62.456,-114.3525,45.41,80,75,5.01,
43,Aksu,CN,41.1231,80.2644,62.78,19,2,6.96,
44,Bambous Virieux,MU,-20.3428,57.7575,71.85,78,40,12.66,
45,Yerbogachen,RU,61.2767,108.0108,37.2,69,49,14.56,
46,Pevek,RU,69.7008,170.3133,30.94,98,100,15.32,
47,Avera,US,33.194,-82.5271,74.08,54,36,4.32,
48,Furano,JP,43.2818,142.4743,45.9,60,100,2.55,
49,Asau,RO,46.4333,26.4,55.76,84,1,5.57,
50,Punta Arenas,CL,-53.15,-70.9167,41.11,70,40,18.41,
51,Lata,PT,40.1629,-8.3327,62.82,97,4,2.46,
52,Ruzhyn,UA,49.7228,29.2046,57.34,81,85,14.63,
53,Rawson,AR,-43.3002,-65.1023,66.65,30,75,22.39,
54,Saint-Augustin,CA,51.226,-58.6502,53.92,98,100,15.86,
55,Wuxue,CN,29.8506,115.5525,82.13,75,85,4.52,
56,Belmonte,BR,-15.8631,-38.8828,73.9,77,6,8.9,
57,Port Alfred,ZA,-33.5906,26.891,61.86,64,87,12.26,
58,Cukai,MY,4.25,103.4167,77.0,91,62,3.2,
59,Manggar,ID,-2.8833,108.2667,82.18,76,94,4.56,
60,Obregon,NI,11.9566,-85.9636,84.29,90,100,8.99,
61,San Cristobal,VE,7.7669,-72.225,80.78,99,44,4.65,
62,Saldanha,ZA,-33.0117,17.9442,60.85,94,74,3.04,
63,Hasaki,JP,35.7333,140.8333,72.28,57,100,13.0,
64,Los Llanos De Aridane,ES,28.6585,-17.9182,69.55,86,75,5.75,
65,Vila Franca Do Campo,PT,37.7167,-25.4333,72.19,91,100,9.42,
66,Kaseda,JP,31.4167,130.3167,72.63,72,67,9.86,
67,Lavrentiya,RU,65.5833,-171.0,33.44,81,100,4.54,
68,Botad,IN,22.1667,71.6667,77.0,88,99,8.19,
69,Kapaa,US,22.0752,-159.319,85.98,70,75,5.01,
